IMDB_ID,TITLE_TW,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRECTOR_RANK,DIRECTOR_SCORE,STAR_1,STAR_1_RANK,STAR_1_SCORE,STAR_2,STAR_2_RANK,STAR_2_SCORE,STAR_3,STAR_3_RANK,STAR_3_SCORE,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt2799166,驚字塔,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2582802,進擊的鼓手,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4276752,尋龍訣,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2224026,好家在一起,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4288532,鐵獅玉玲瓏2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2268016,舞力麥克：尺度極限XXL,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5161762,234說愛你,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3614922,赤道,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5735218,屍憶,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1655441,時空永恆的愛戀,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4344878?,重返20歲,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2717822,黑帽駭客,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5875102?,老鷹想飛,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1741273,沉默的雙眼,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2140379,換命法則,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3045616,神鬼大盜,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2436386,跨界失控,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4272866,怪物的孩子,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4801606,百日告別,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2072230,進擊的巨人1,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2404425,名畫的控訴,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4484426?,念念,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1355683,黑勢力,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2338151,來自星星的傻瓜,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3672840,天將雄師,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4839422,奇人密碼－古羅布之謎,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2088003,總統遊戲,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3498820,美國隊長3：英雄內戰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1431045,惡棍英雄：死侍,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5700672,屍速列車,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3183660,怪獸與牠們的產地,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1211837,奇異博士,,,,,,,,,,,,,,,,,,,,,,,,,,
